"My heart Is Filled With Thankfulness","2013-10-20","p"
"No One Is Good, No One Is Holy (Mighty Mighty Saviour)","2013-08-11","a"
"No One Is Good, No One Is Holy (Mighty Mighty Saviour)","2013-11-10","p"
"No One Is Good, No One Is Holy (Mighty Mighty Saviour)","2013-12-29","a"
"O Church Arise","2013-09-08","p"
"O Church Arise","2013-09-29","a"
"O Precious Sight","2013-08-18","p"
"Oh To See The Dawn","2013-10-06","a"
"On The Cross, On The Cross","2013-07-21","a"
"On The Cross, On The Cross","2013-09-15","p"
"On The Cross, On The Cross","2013-11-24","a"
"Say Are You Weary? (I Know A Fount)","2013-08-18","a"
"Say Are You Weary? (I Know A Fount)","2013-08-25","a"
"See What A Morning    ","2013-06-16","a"
"Seek Ye First","2013-11-10","p"
"Speak O Lord","2013-07-07","p"
"Speak O Lord","2013-08-11","p"
"The Lord's My Shepherd (I Will Trust In You Alone)","2013-10-27","p"
"The Lord's My Shepherd (I Will Trust In You Alone)","2013-12-01","a"
"The Price Is Paid","2013-06-23","p"
"There's A Place Where The Streets Shine","2013-11-10","a"
"When I Was Lost, You Came And Rescued Me","2013-07-14","p"
"Who Has Held The Oceans In His Hands (Behold Our God)","2013-07-21","p"
"Who Has Held The Oceans In His Hands (Behold Our God)","2013-09-08","a"
"Who Has Held The Oceans In His Hands (Behold Our God)","2013-11-10","p"
"Who Has Held The Oceans In His Hands (Behold Our God)","2013-12-29","p"
"Who, O Lord, Could Save Themselves","2013-07-14","p"
"Who, O Lord, Could Save Themselves","2013-12-01","a"
"Who Put The Colours In The Rainbow","2013-09-01","a"
"You're The Word Of God The Father","2013-09-01","a"
"Blessed is the man","2015-02-01","a"
"Come People Of The Risen King","2015-01-18","a"
"God And God Alone","2015-02-22","a"
"Hallelujah My Father","2015-02-01","a"
"He Is Exalted (Praise 485 but with 3 verses)","2015-01-18","p"
"I Am A New Creation","2015-01-11","p"
"In Christ Alone","2015-01-11","p"
"Jesus is Lord The Cry That Echoes Through The Creation","2015-01-04","p"
"My God Is So Big","2015-02-08","a"
"My heart Is Filled With Thankfulness","2015-01-25","p"
"O Church Arise","2015-01-18","a"
"On The Cross, On The Cross","2015-01-04","p"
"Read Your Bible Every Day","2015-02-08","a"
"The Lord's My Shepherd (I Will Trust In You Alone)","2015-02-22","a"
"The Price Is Paid","2015-01-25","a"
"Who Has Held The Oceans In His Hands (Behold Our God)","2015-02-15","p"
"Would you be free from your burden of sin","2015-01-11","a"
"You're The Word Of God The Father","2015-01-11","a"
